SonicWALL SKU,Networking/ISG SKUs (TZ500 and above),Partner Software (Nexus/Tracker SKUs) TZ400 and below,Partner Software (Harmony SKUs) TZ400 and below,SonicWALL Product Description ,MSRP (USD),SecureFirst Discount Eligibility,Minimum Advertised Price (MAP),Hardware/Software,Special Requirements,Notes
01-SSC-4425,A7483734,N/A,N/A,COMPREHENSIVE ANTI-SPAM SERVICE FOR NSA 4600  (3 YR),5371,Y,5371,S,0,The Comprehensive Anti-Spam Service is recommended For Up To 250 Users
01-SSC-4426,A7000269,N/A,N/A,COMPREHENSIVE ANTI-SPAM SERVICE FOR NSA 4600  (4 YR),7162,Y,7162,S,0,The Comprehensive Anti-Spam Service is recommended For Up To 250 Users
01-SSC-4427,A7000222,N/A,N/A,COMPREHENSIVE ANTI-SPAM SERVICE FOR NSA 4600  (5 YR),8952,Y,8952,S,0,The Comprehensive Anti-Spam Service is recommended For Up To 250 Users
01-SSC-4429,A7483744,N/A,N/A,COMPREHENSIVE GATEWAY SECURITY SUITE FOR NSA 3600  (1 YR),1918,Y,1918,S,0,"Comprehensive Gateway Security Suite Bundle - (GAV, IPS, App Control, CFS, 24X7 Support)"
01-SSC-4430,A7483745,N/A,N/A,COMPREHENSIVE GATEWAY SECURITY SUITE FOR NSA 3600  (2 YR),3260,Y,3260,S,0,"Comprehensive Gateway Security Suite Bundle - (GAV, IPS, App Control, CFS, 24X7 Support)"
01-SSC-4431,A7483746,N/A,N/A,COMPREHENSIVE GATEWAY SECURITY SUITE FOR NSA 3600  (3 YR),4602,Y,4602,S,0,"Comprehensive Gateway Security Suite Bundle - (GAV, IPS, App Control, CFS, 24X7 Support)"
01-SSC-4432,A7000238,N/A,N/A,COMPREHENSIVE GATEWAY SECURITY SUITE FOR NSA 3600  (4 YR),6136,Y,6136,S,0,"Comprehensive Gateway Security Suite Bundle - (GAV, IPS, App Control, CFS, 24X7 Support)"
01-SSC-4433,A7000224,N/A,N/A,COMPREHENSIVE GATEWAY SECURITY SUITE FOR NSA 3600  (5 YR),7670,Y,7670,S,0,"Comprehensive Gateway Security Suite Bundle - (GAV, IPS, App Control, CFS, 24X7 Support)"
01-SSC-4435,A7483747,N/A,N/A,"GATEWAY ANTI-MALWARE, INTRUSION PREVENTION AND APPLICATION CONTROL FOR NSA 3600  (1 YR)",879,Y,879,S,0,"Security Service - Intrusion Prevention, Anti-Malware (GAV), App Control, App Visualization"
01-SSC-4436,A7483748,N/A,N/A,"GATEWAY ANTI-MALWARE, INTRUSION PREVENTION AND APPLICATION CONTROL FOR NSA 3600  (2 YR)",1494,Y,1494,S,0,"Security Service - Intrusion Prevention, Anti-Malware (GAV), App Control, App Visualization"
01-SSC-4437,A7483749,N/A,N/A,"GATEWAY ANTI-MALWARE, INTRUSION PREVENTION AND APPLICATION CONTROL FOR NSA 3600  (3 YR)",2109,Y,2109,S,0,"Security Service - Intrusion Prevention, Anti-Malware (GAV), App Control, App Visualization"
01-SSC-4438,A7000251,N/A,N/A,"GATEWAY ANTI-MALWARE, INTRUSION PREVENTION AND APPLICATION CONTROL FOR NSA 3600  (4 YR)",2812,Y,2812,S,0,"Security Service - Intrusion Prevention, Anti-Malware (GAV), App Control, App Visualization"
01-SSC-4439,A7000227,N/A,N/A,"GATEWAYANTI-MALWARE, INTRUSION PREVENTION AND APPLICATION CONTROL FOR NSA 3600  (5 YR)",3516,Y,3516,S,0,"Security Service - Intrusion Prevention, Anti-Malware (GAV), App Control, App Visualization"
01-SSC-4441,A7483750,N/A,N/A,CONTENT FILTERING PREMIUM SERVICE FOR NSA 3600  (1 YR),959,Y,959,S,0,Content Filtering Service (URL Filtering) Premium Edition
01-SSC-4442,A7483751,N/A,N/A,CONTENT FILTERING PREMIUM SERVICE FOR NSA 3600  (2 YR),1630,Y,1630,S,0,Content Filtering Service (URL Filtering) Premium Edition
01-SSC-4443,A7483752,N/A,N/A,CONTENT FILTERING PREMIUM SERVICE FOR NSA 3600  (3 YR),2301,Y,2301,S,0,Content Filtering Service (URL Filtering) Premium Edition
01-SSC-4444,A7000256,N/A,N/A,CONTENT FILTERING PREMIUM SERVICE FOR NSA 3600  (4 YR),3068,Y,3068,S,0,Content Filtering Service (URL Filtering) Premium Edition
01-SSC-4445,A7000270,N/A,N/A,CONTENT FILTERING PREMIUM SERVICE FOR NSA 3600  (5 YR),3835,Y,3835,S,0,Content Filtering Service (URL Filtering) Premium Edition
01-SSC-4447,A7483753,N/A,N/A,COMPREHENSIVE ANTI-SPAM SERVICE FOR NSA 3600  (1 YR),1598,Y,1598,S,0,The Comprehensive Anti-Spam Service is recommended For Up To 250 Users
01-SSC-4448,A7483754,N/A,N/A,COMPREHENSIVE ANTI-SPAM SERVICE FOR NSA 3600  (2 YR),2717,Y,2717,S,0,The Comprehensive Anti-Spam Service is recommended For Up To 250 Users
01-SSC-4449,A7483755,N/A,N/A,COMPREHENSIVE ANTI-SPAM SERVICE FOR NSA 3600  (3 YR),3835,Y,3835,S,0,The Comprehensive Anti-Spam Service is recommended For Up To 250 Users
01-SSC-4450,A7000257,N/A,N/A,COMPREHENSIVE ANTI-SPAM SERVICE FOR NSA 3600  (4 YR),5114,Y,5114,S,0,The Comprehensive Anti-Spam Service is recommended For Up To 250 Users
01-SSC-4451,A7000239,N/A,N/A,COMPREHENSIVE ANTI-SPAM SERVICE FOR NSA 3600  (5 YR),6392,Y,6392,S,0,The Comprehensive Anti-Spam Service is recommended For Up To 250 Users
01-SSC-4453,A7483766,N/A,N/A,COMPREHENSIVE GATEWAY SECURITY SUITE BUNDLE FOR NSA 2600  (1 YR),1465,Y,1465,S,0,"Comprehensive Gateway Security Suite Bundle - (GAV, IPS, App Control, CFS, 24X7 Support)"
01-SSC-4454,A7483767,N/A,N/A,COMPREHENSIVE GATEWAY SECURITY SUITE BUNDLE FOR NSA 2600  (2 YR),2160,Y,2160,S,0,"Comprehensive Gateway Security Suite Bundle - (GAV, IPS, App Control, CFS, 24X7 Support)"
01-SSC-4455,A7483768,N/A,N/A,COMPREHENSIVE GATEWAY SECURITY SUITE BUNDLE FOR NSA 2600  (3 YR),3040,Y,3040,S,0,"Comprehensive Gateway Security Suite Bundle - (GAV, IPS, App Control, CFS, 24X7 Support)"
01-SSC-4456,A7554662,N/A,N/A,COMPREHENSIVE GATEWAY SECURITY SUITE FOR 2600  (4 YR),4240,Y,4240,S,0,"Comprehensive Gateway Security Suite Bundle - (GAV, IPS, App Control, CFS, 24X7 Support)"
01-SSC-4457,A7554664,N/A,N/A,COMPREHENSIVE GATEWAY SECURITY SUITE FOR 2600  (5 YR),5073,Y,5073,S,0,"Comprehensive Gateway Security Suite Bundle - (GAV, IPS, App Control, CFS, 24X7 Support)"
01-SSC-4459,A7483769,N/A,N/A,"GATEWAY ANTI-MALWARE, INTRUSION PREVENTION AND APPLICATION CONTROL FOR NSA 2600  (1 YR)",680,Y,680,S,0,"Security Service - Intrusion Prevention, Anti-Malware (GAV), App Control, App Visualization"
01-SSC-4460,A7483770,N/A,N/A,"GATEWAY ANTI-MALWARE, INTRUSION PREVENTION AND APPLICATION CONTROL FOR NSA 2600  (2 YR)",1150,Y,1150,S,0,"Security Service - Intrusion Prevention, Anti-Malware (GAV), App Control, App Visualization"
01-SSC-4461,A7483771,N/A,N/A,"GATEWAY ANTI-MALWARE, INTRUSION PREVENTION AND APPLICATION CONTROL FOR NSA 2600  (3 YR)",1635,Y,1635,S,0,"Security Service - Intrusion Prevention, Anti-Malware (GAV), App Control, App Visualization"
01-SSC-4462,A7554666,N/A,N/A,"GATEWAY ANTI-MALWARE, INTRUSION PREVENTION AND APPLICATION CONTROL FOR NSA 2600  (4 YR)",2176,Y,2176,S,0,"Security Service - Intrusion Prevention, Anti-Malware (GAV), App Control, App Visualization"
01-SSC-4463,A7554667,N/A,N/A,"GATEWAY ANTI-MALWARE, INTRUSION PREVENTION AND APPLICATION CONTROL FOR NSA 2600  (5 YR)",2720,Y,2720,S,0,"Security Service - Intrusion Prevention, Anti-Malware (GAV), App Control, App Visualization"
01-SSC-4465,A7483772,N/A,N/A,CONTENT FILTERING SERVICE PREMIUM SERVICE FOR NSA 2600  (1 YR),940,Y,940,S,0,Content Filtering Service (URL Filtering) Premium Edition
01-SSC-4466,A7483773,N/A,N/A,CONTENT FILTERING SERVICE PREMIUM SERVICE FOR NSA 2600  (2 YR),1570,Y,1570,S,0,Content Filtering Service (URL Filtering) Premium Edition
01-SSC-4467,A7483774,N/A,N/A,CONTENT FILTERING SERVICE PREMIUM SERVICE FOR NSA 2600  (3 YR),2265,Y,2265,S,0,Content Filtering Service (URL Filtering) Premium Edition
01-SSC-4468,A7554669,N/A,N/A,CONTENT FILTERING SERVICE PREMIUM SERVICE FOR NSA 2600  (4 YR),3008,Y,3008,S,0,Content Filtering Service (URL Filtering) Premium Edition
01-SSC-4469,A7554670,N/A,N/A,CONTENT FILTERING SERVICE PREMIUM SERVICE FOR NSA 2600  (5 YR),3760,Y,3760,S,0,Content Filtering Service (URL Filtering) Premium Edition
01-SSC-4471,A7483775,N/A,N/A,COMPREHENSIVE ANTI-SPAM SERVICE FOR NSA 2600 SERIES  (1 YR),975,Y,975,S,0,The Comprehensive Anti-Spam Service is recommended For Up To 250 Users
01-SSC-4472,A7483776,N/A,N/A,COMPREHENSIVE ANTI-SPAM SERVICE FOR NSA 2600 SERIES  (2 YR),1655,Y,1655,S,0,The Comprehensive Anti-Spam Service is recommended For Up To 250 Users
01-SSC-4473,A7483777,N/A,N/A,COMPREHENSIVE ANTI-SPAM SERVICE FOR NSA 2600 SERIES  (3 YR),2335,Y,2335,S,0,The Comprehensive Anti-Spam Service is recommended For Up To 250 Users
01-SSC-4474,A7554672,N/A,N/A,COMPREHENSIVE ANTI-SPAM SERVICE FOR NSA 2600 SERIES  (4 YR),3120,Y,3120,S,0,The Comprehensive Anti-Spam Service is recommended For Up To 250 Users
01-SSC-4475,A7554673,N/A,N/A,COMPREHENSIVE ANTI-SPAM SERVICE FOR NSA 2600 SERIES  (5 YR),3900,Y,3900,S,0,The Comprehensive Anti-Spam Service is recommended For Up To 250 Users
01-SSC-4480,A7483722,N/A,N/A,SONICWALL NSA 5600 EXPANDED LICENSE,995,Deal Registration Eligible Any Value,995,S,SNWL Authorization Required to Purchase,Adds  for A/A clustering and A/A DPI capabilities to NSA 5600
01-SSC-4481,A7483705,N/A,N/A,SONICWALL NSA 6600 EXPANDED LICENSE,1295,Deal Registration Eligible Any Value,1295,S,SNWL Authorization Required to Purchase,Adds  for A/A clustering and A/A DPI capabilities to NSA 6600
01-SSC-4482,A7483618,N/A,N/A,SUPERMASSIVE 9600 HIGH AVAILABILITY CONVERSION LICENSE TO STANDALONE UNIT,19498,Deal Registration Eligible Any Value,19498,S,SNWL Authorization Required to Purchase,Converts HA unit to the basic standalone appliance (no services)
01-SSC-4483,A7483631,N/A,N/A,SUPERMASSIVE 9400 HIGH AVAILABILITY CONVERSION LICENSE TO STANDALONE UNIT,13498,Deal Registration Eligible Any Value,13498,S,SNWL Authorization Required to Purchase,Converts HA unit to the basic standalone appliance (no services)
01-SSC-4484,A7483644,N/A,N/A,SUPERMASSIVE 9200 HIGH AVAILABILITY CONVERSION LICENSE TO STANDALONE UNIT,8998,Deal Registration Eligible Any Value,8998,S,SNWL Authorization Required to Purchase,Converts HA unit to the basic standalone appliance (no services)
01-SSC-4485,A7483704,N/A,N/A,NETWORK SECURITY APPLIANCE 6600 HIGH AVAILABILITY CONVERSION LICENSE TO STANDALONE UNIT,5998,Deal Registration Eligible Any Value,5998,S,SNWL Authorization Required to Purchase,Converts HA unit to the basic standalone appliance (no services)
01-SSC-4486,A7483721,N/A,N/A,NETWORK SECURITY APPLIANCE 5600 HIGH AVAILABILITY CONVERSION LICENSE TO STANDALONE UNIT,3298,Deal Registration Eligible Any Value,3298,S,SNWL Authorization Required to Purchase,Converts HA unit to the basic standalone appliance (no services)
01-SSC-4487,A7483741,N/A,N/A,NETWORK SECURITY APPLIANCE 4600 HIGH AVAILABILITY CONVERSION LICENSE TO STANDALONE UNIT,1678,Y,1678,S,0,Converts HA unit to the basic standalone appliance (no services)
01-SSC-4488,A7483762,N/A,N/A,NETWORK SECURITY APPLIANCE 3600 HIGH AVAILABILITY CONVERSION LICENSE TO STANDALONE UNIT,1198,Y,1198,S,0,Converts HA unit to the basic standalone appliance (no services)
01-SSC-4489,A7483784,N/A,N/A,NSA 2600 HIGH AVAILABILITY CONVERSION LICENSE TO STANDALONE UNIT,696,Y,696,S,0,Converts HA unit to the basic standalone appliance (no services)
01-SSC-4490,A7487253,N/A,N/A,NSA 240 HIGH AVAILABILITY CONVERSION LICENSE TO STANDALONE UNIT,780,Y,780,S,0,Converts HA unit to the basic standalone appliance (no services
01-SSC-4491,A7487254,N/A,N/A,NSA 2400MX HIGH AVAILABILITY CONVERSION LICENSE TO STANDALONE UNIT,1500,Y,1500,S,0,Converts HA unit to the basic standalone appliance (no services
01-SSC-4570,A7489538,N/A,N/A,"GATEWAY ANTI-MALWARE, INTRUSION PREVENTION AND APPLICATION CONTROL FOR THE NSA 250M SERIES (1 YR)",428,Y,428,S,0,"Provides real time network threat prevention with Gateway Anti-Virus, Anti-Spyware, Intrusion Prevention Service and Application Firewall."
01-SSC-4571,A7489539,N/A,N/A,"GATEWAY ANTI-MALWARE, INTRUSION PREVENTION AND APPLICATION CONTROL FOR THE NSA 250M SERIES (2 YR)",727,Y,727,S,0,"Provides real time network threat prevention with Gateway Anti-Virus, Anti-Spyware, Intrusion Prevention Service and Application Firewall."
01-SSC-4572,A7489540,N/A,N/A,"GATEWAY ANTI-MALWARE, INTRUSION PREVENTION AND APPLICATION CONTROL FOR THE NSA 250M SERIES (3 YR)",1026,Y,1026,S,0,"Provides real time network threat prevention with Gateway Anti-Virus, Anti-Spyware, Intrusion Prevention Service and Application Firewall."
01-SSC-4576,A7489541,N/A,N/A,CONTENT FILTERING SERVICE PREMIUM BUSINESS EDITION FOR NSA 250M SERIES (1 YR),467,Y,467,S,0,Provides URL filtering allowing organizations to manage productivity and security For online activities using 56 unique categories.  
01-SSC-4577,A7489542,N/A,N/A,CONTENT FILTERING SERVICE PREMIUM BUSINESS EDITION FOR NSA 250M SERIES (2 YR),793,Y,793,S,0,Provides URL filtering allowing organizations to manage productivity and security For online activities using 56 unique categories.  
01-SSC-4578,A7489543,N/A,N/A,CONTENT FILTERING SERVICE PREMIUM BUSINESS EDITION FOR NSA 250M SERIES (3 YR),1119,Y,1119,S,0,Provides URL filtering allowing organizations to manage productivity and security For online activities using 56 unique categories.  
01-SSC-4582,A7489544,N/A,N/A,STANDARD SUPPORT FOR THE NSA 250M SERIES 1YR,330,Y,330,S,0,"Includes 8x5 telephone, email and Web-based Support, Software and firmware updates, Advance Exchange hardware replacement, access to electronic Support tools and moderated discussion groups."
01-SSC-4583,A7489545,N/A,N/A,STANDARD SUPPORT FOR THE NSA 250M SERIES 2YR,562,Y,562,S,0,"Includes 8x5 telephone, email and Web-based Support, Software and firmware updates, Advance Exchange hardware replacement, access to electronic Support tools and moderated discussion groups."
01-SSC-4584,A7489546,N/A,N/A,STANDARD SUPPORT FOR THE NSA 250M SERIES 3YR,793,Y,793,S,0,"Includes 8x5 telephone, email and Web-based Support, Software and firmware updates, Advance Exchange hardware replacement, access to electronic Support tools and moderated discussion groups."
01-SSC-4585,A6833377,N/A,N/A,STANDARD SUPPORT FOR THE NSA 250M SERIES 4YR,1057,Y,1057,S,0,"Includes 8x5 telephone, email and Web-based Support, Software and firmware updates, Advance Exchange hardware replacement, access to electronic Support tools and moderated discussion groups."
01-SSC-4588,A7489547,N/A,N/A,24X7 SUPPORT FOR THE NSA 250M SERIES 1YR,447,Y,447,S,0,"Includes 24x7 telephone, email and Web-based Support, Software and firmware updates, Advance Exchange hardware replacement, access to electronic Support tools and moderated discussion groups."
01-SSC-4589,A7489548,N/A,N/A,24X7 SUPPORT FOR THE NSA 250M SERIES 2YR,761,Y,761,S,0,"Includes 24x7 telephone, email and Web-based Support, Software and firmware updates, Advance Exchange hardware replacement, access to electronic Support tools and moderated discussion groups."
01-SSC-4590,A7489549,N/A,N/A,24X7 SUPPORT FOR THE NSA 250M SERIES 3YR,1073,Y,1073,S,0,"Includes 24x7 telephone, email and Web-based Support, Software and firmware updates, Advance Exchange hardware replacement, access to electronic Support tools and moderated discussion groups."
01-SSC-4591,A6833376,N/A,N/A,24X7 SUPPORT FOR THE NSA 250M SERIES 4YR,1431,Y,1431,S,0,"Includes 24x7 telephone, email and Web-based Support, Software and firmware updates, Advance Exchange hardware replacement, access to electronic Support tools and moderated discussion groups."
01-SSC-4600,A7489550,N/A,N/A,COMPREHENSIVE ANTI-SPAM SERVICE FOR NSA 250M (1 YR),777,Y,777,S,0,The Comprehensive Anti-Spam Service is recommended For Up To 250 User.
01-SSC-4601,A7489551,N/A,N/A,COMPREHENSIVE ANTI-SPAM SERVICE FOR NSA 250M (2 YR),1322,Y,1322,S,0,The Comprehensive Anti-Spam Service is recommended For Up To 250 User.
01-SSC-4602,A7489552,N/A,N/A,COMPREHENSIVE ANTI-SPAM SERVICE FOR NSA 250M (3 YR),1866,Y,1866,S,0,The Comprehensive Anti-Spam Service is recommended For Up To 250 User.
01-SSC-4606,A7489535,N/A,N/A,COMPREHENSIVE GATEWAY SECURITY SUITE BUNDLE FOR THE NSA 250M SERIES (1 YR),995,Y,995,S,0,"BEST VALUE: Comprehensive Gateway Security Suite includes - Gateway Anti-Virus, Anti-Spyware, Intrusion Prevention and Application Firewall Service, as well as Content Filtering Premium Services, and 24x7 Support with Firmware Updates."
01-SSC-4607,A7489536,N/A,N/A,COMPREHENSIVE GATEWAY SECURITY SUITE BUNDLE FOR THE NSA 250M SERIES (2 YR),1586,Y,1586,S,0,"BEST VALUE: Comprehensive Gateway Security Suite includes - Gateway Anti-Virus, Anti-Spyware, Intrusion Prevention and Application Firewall Service, as well as Content Filtering Premium Services, and 24x7 Support with Firmware Updates."
01-SSC-4608,A7489537,N/A,N/A,COMPREHENSIVE GATEWAY SECURITY SUITE BUNDLE FOR THE NSA 250M SERIES (3 YR),2239,Y,2239,S,0,"BEST VALUE: Comprehensive Gateway Security Suite includes - Gateway Anti-Virus, Anti-Spyware, Intrusion Prevention and Application Firewall Service, as well as Content Filtering Premium Services, and 24x7 Support with Firmware Updates."
01-SSC-4609,A6833375,N/A,N/A,COMPREHENSIVE GATEWAY SECURITY SUITE BUNDLE FOR THE NSA 250M SERIES (4 YEARS),3172,Y,3172,S,0,"BEST VALUE: Comprehensive Gateway Security Suite includes - Gateway Anti-Virus, Anti-Spyware, Intrusion Prevention and Application Firewall Service, as well as Content Filtering Premium Services, and 24x7 Support with Firmware Updates."
01-SSC-4612,A7489559,N/A,N/A,"GATEWAY ANTI-MALWARE, INTRUSION PREVENTION AND APPLICATION CONTROL FOR THE NSA 220 SERIES (1 YR)",313,Y,313,S,0,"Provides real time network threat prevention with Gateway Anti-Virus, Anti-Spyware, Intrusion Prevention Service and Application Firewall."
01-SSC-4613,A7489560,N/A,N/A,"GATEWAY ANTI-MALWARE, INTRUSION PREVENTION AND APPLICATION CONTROL FOR THE NSA 220 SERIES (2 YR)",533,Y,533,S,0,"Provides real time network threat prevention with Gateway Anti-Virus, Anti-Spyware, Intrusion Prevention Service and Application Firewall."
01-SSC-4614,A7489561,N/A,N/A,"GATEWAY ANTI-MALWARE, INTRUSION PREVENTION AND APPLICATION CONTROL FOR THE NSA 220 SERIES (3 YR)",751,Y,751,S,0,"Provides real time network threat prevention with Gateway Anti-Virus, Anti-Spyware, Intrusion Prevention Service and Application Firewall."
01-SSC-4615,A7648013,N/A,N/A,"GATEWAY ANTI-MALWARE, INTRUSION PREVENTION AND APPLICATION CONTROL FOR THE NSA 220 SERIES (4 YEARS)",1002,Y,1002,S,0,"Provides real time network threat prevention with Gateway Anti-Virus, Anti-Spyware, Intrusion Prevention Service and Application Firewall."
01-SSC-4618,A7489562,N/A,N/A,CONTENT FILTERING SERVICE PREMIUM BUSINESS EDITION FOR NSA 220 SERIES (1 YR),371,Y,371,S,0,Provides URL filtering allowing organizations to manage productivity and security For online activities using 56 unique categories.  
01-SSC-4619,A7489563,N/A,N/A,CONTENT FILTERING SERVICE PREMIUM BUSINESS EDITION FOR NSA 220 SERIES (2 YR),631,Y,631,S,0,Provides URL filtering allowing organizations to manage productivity and security For online activities using 56 unique categories.  
01-SSC-4620,A7489564,N/A,N/A,CONTENT FILTERING SERVICE PREMIUM BUSINESS EDITION FOR NSA 220 SERIES (3 YR),904,Y,904,S,0,Provides URL filtering allowing organizations to manage productivity and security For online activities using 56 unique categories.  
01-SSC-4621,A7648004,N/A,N/A,CONTENT FILTERING SERVICE PREMIUM BUSINESS EDITION FOR THE NSA 220 SERIES (4 YEARS),1186,Y,1186,S,0,Provides URL filtering allowing organizations to manage productivity and security For online activities using 56 unique categories.  
01-SSC-4624,A7489565,N/A,N/A,STANDARD SUPPORT FOR THE NSA 220 SERIES 1YR,242,Y,242,S,0,"Includes 8x5 telephone, email and Web-based Support, Software and firmware updates, Advance Exchange hardware replacement, access to electronic Support tools and moderated discussion groups."
01-SSC-4625,A7489566,N/A,N/A,STANDARD SUPPORT FOR THE NSA 220 SERIES 2YR,411,Y,411,S,0,"Includes 8x5 telephone, email and Web-based Support, Software and firmware updates, Advance Exchange hardware replacement, access to electronic Support tools and moderated discussion groups."
01-SSC-4626,A7489567,N/A,N/A,STANDARD SUPPORT FOR THE NSA 220 SERIES 3YR,581,Y,581,S,0,"Includes 8x5 telephone, email and Web-based Support, Software and firmware updates, Advance Exchange hardware replacement, access to electronic Support tools and moderated discussion groups."
01-SSC-4627,A6833405,N/A,N/A,STANDARD SUPPORT FOR THE NSA 220 SERIES 4YR,775,Y,775,S,0,"Includes 8x5 telephone, email and Web-based Support, Software and firmware updates, Advance Exchange hardware replacement, access to electronic Support tools and moderated discussion groups."
01-SSC-4630,A7489568,N/A,N/A,24X7 SUPPORT FOR THE NSA 220 SERIES 1YR,328,Y,328,S,0,"Includes 24x7 telephone, email and Web-based Support, Software and firmware updates, Advance Exchange hardware replacement, access to electronic Support tools and moderated discussion groups."
01-SSC-4631,A7489569,N/A,N/A,24X7 SUPPORT FOR THE NSA 220 SERIES 2YR,556,Y,556,S,0,"Includes 24x7 telephone, email and Web-based Support, Software and firmware updates, Advance Exchange hardware replacement, access to electronic Support tools and moderated discussion groups."
01-SSC-4632,A7489570,N/A,N/A,24X7 SUPPORT FOR THE NSA 220 SERIES 3YR,785,Y,785,S,0,"Includes 24x7 telephone, email and Web-based Support, Software and firmware updates, Advance Exchange hardware replacement, access to electronic Support tools and moderated discussion groups."
01-SSC-4633,A6833486,N/A,N/A,24X7 SUPPORT FOR THE NSA 220 SERIES 4YR,1048,Y,1048,S,0,"Includes 24x7 telephone, email and Web-based Support, Software and firmware updates, Advance Exchange hardware replacement, access to electronic Support tools and moderated discussion groups."
01-SSC-4642,A7489571,N/A,N/A,COMPREHENSIVE ANTI-SPAM SERVICE FOR NSA 220 (1 YR),569,Y,569,S,0,The Comprehensive Anti-Spam Service is recommended For Up To 250 User.
01-SSC-4643,A7489572,N/A,N/A,COMPREHENSIVE ANTI-SPAM SERVICE FOR NSA 220 (2 YR),969,Y,969,S,0,The Comprehensive Anti-Spam Service is recommended For Up To 250 User.
01-SSC-4644,A7489573,N/A,N/A,COMPREHENSIVE ANTI-SPAM SERVICE FOR NSA 220 (3 YR),1366,Y,1366,S,0,The Comprehensive Anti-Spam Service is recommended For Up To 250 User.
01-SSC-4645,A7647998,N/A,N/A,COMPREHENSIVE ANTI-SPAM SERVICE FOR THE NSA 220 (4 YEARS),1823,Y,1823,S,0,The Comprehensive Anti-Spam Service is recommended For Up To 250 User.
01-SSC-4648,A7489556,N/A,N/A,COMPREHENSIVE GATEWAY SECURITY SUITE BUNDLE FOR THE NSA 220 SERIES (1 YR),800,Y,800,S,0,"BEST VALUE: Comprehensive Gateway Security Suite includes - Gateway Anti-Virus, Anti-Spyware, Intrusion Prevention and Application Firewall Service, as well as Content Filtering Premium Services, and 24x7 Support with Firmware Updates."
01-SSC-4649,A7489557,N/A,N/A,COMPREHENSIVE GATEWAY SECURITY SUITE BUNDLE FOR THE NSA 220 SERIES (2 YR),1162,Y,1162,S,0,"BEST VALUE: Comprehensive Gateway Security Suite includes - Gateway Anti-Virus, Anti-Spyware, Intrusion Prevention and Application Firewall Service, as well as Content Filtering Premium Services, and 24x7 Support with Firmware Updates."
01-SSC-4650,A7489558,N/A,N/A,COMPREHENSIVE GATEWAY SECURITY SUITE BUNDLE FOR THE NSA 220 SERIES (3 YR),1639,Y,1639,S,0,"BEST VALUE: Comprehensive Gateway Security Suite includes - Gateway Anti-Virus, Anti-Spyware, Intrusion Prevention and Application Firewall Service, as well as Content Filtering Premium Services, and 24x7 Support with Firmware Updates."
01-SSC-4651,A6833404,N/A,N/A,COMPREHENSIVE GATEWAY SECURITY SUITE BUNDLE FOR THE NSA 220 SERIES (4 YEARS),2323,Y,2323,S,0,"BEST VALUE: Comprehensive Gateway Security Suite includes - Gateway Anti-Virus, Anti-Spyware, Intrusion Prevention and Application Firewall Service, as well as Content Filtering Premium Services, and 24x7 Support with Firmware Updates."
01-SSC-4654,A7489574,N/A,N/A,NSA 220 SERIES STATEFUL HA UPGRADE,240,Y,240,S,0,Enables Stateful HA
01-SSC-4655,A7489575,N/A,N/A,SONICWALL EXPANDED LICENSE FOR NSA 220 SERIES,345,Y,345,S,0,Enables Stateful HA and BGP support (only with SonicOS 5.9)
01-SSC-4656,A7489553,N/A,N/A,NSA 250M SERIES STATEFUL HA UPGRADE,330,Y,330,S,0,0
01-SSC-4657,A7489555,N/A,N/A,SONICWALL EXPANDED LICENSE FOR NSA 250M SERIES,445,Y,445,S,0,Enables Stateful HA and BGP support (only with SonicOS 5.9)
01-SSC-4757,N/A,A9613486,0,"GATEWAY ANTI-MALWARE, INTRUSION PREVENTION AND APPLICATION CONTROL FOR THE TZ 215 SERIES (1 YR)",358,Y,358,S,0,"Provides real time network threat prevention with Gateway Anti-Virus, Anti-Spyware, Intrusion Prevention Service and Application Firewall."
01-SSC-4758,N/A,0,0,"GATEWAY ANTI-MALWARE, INTRUSION PREVENTION AND APPLICATION CONTROL FOR THE TZ 215 SERIES (2 YR)",546,Y,546,S,0,"Provides real time network threat prevention with Gateway Anti-Virus, Anti-Spyware, Intrusion Prevention Service and Application Firewall."
01-SSC-4759,N/A,0,0,"GATEWAY ANTI-MALWARE, INTRUSION PREVENTION AND APPLICATION CONTROL FOR THE TZ 215 SERIES (3 YR)",787,Y,787,S,0,"Provides real time network threat prevention with Gateway Anti-Virus, Anti-Spyware, Intrusion Prevention Service and Application Firewall."
01-SSC-4763,N/A,0,0,CONTENT FILTERING SERVICE PREMIUM BUSINESS EDITION FOR TZ 215 SERIES (1 YR),332,Y,332,S,0,Provides URL filtering allowing organizations to manage productivity and security For online activites.
01-SSC-4764,N/A,0,0,CONTENT FILTERING SERVICE PREMIUM BUSINESS EDITION FOR TZ 215 SERIES (2 YR),553,Y,553,S,0,Provides URL filtering allowing organizations to manage productivity and security For online activites.
01-SSC-4765,N/A,0,0,CONTENT FILTERING SERVICE PREMIUM BUSINESS EDITION FOR TZ 215 SERIES (3 YR),709,Y,709,S,0,Provides URL filtering allowing organizations to manage productivity and security For online activites.
01-SSC-4769,N/A,A9615705,0,STANDARD SUPPORT FOR THE TZ 215 SERIES 1YR,202,Y,202,S,0,"Includes 8x5 telephone, email and Web-based Support, Software and firmware updates, Advance Exchange hardware replacement, access to electronic Support tools and moderated discussion groups."
